miRNA 31A 31B 32A 32B 33A 33B 34A 34B 35A 35B 36A 36B 37A 37B 38A 38B 39A 39B 40A 40B 41A 41B 42A 42B 43A 43B 44A 44B 45A 45B 46A 46B 47A 47B 48A 48B 49A 49B 50A 50B 51A 51B 52A 52B 53A 53B 54A 54B 55A 55B 56A 56B 57A 57B 58A 58B 59A 59B 60A 60B 61A 61B 62A 62B 63A 63B 64A 64B 65A 65B 66A 66B 67A 67B 68A 68B 69A 69B 70A 70B
hsa-miR-11399 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-520g-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-7854-3p 0.00 0.00 1.00 0.00 2.00 0.00 1.00 0.00 0.00 1.00 2.00 2.00 0.00 1.00 1.00 1.00 3.00 5.00 1.00 3.00 1.00 7.00 4.00 0.00 0.00 1.00 0.00 10.00 0.00 0.00 1.00 2.00 0.00 2.00 0.00 0.00 0.00 0.00 3.00 2.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 2.00 3.00 0.00 1.00 3.00 1.00 0.00 1.00 1.00 0.00 0.00 3.00 0.00 3.00 1.00 0.00 3.00 4.00 0.00 0.00 2.00 0.00 0.00 17.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3652 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1275 4.00 2.00 19.00 37.00 1.00 29.00 26.00 2.00 24.00 31.00 123.00 26.00 17.00 24.00 13.00 7.00 10.00 13.00 13.00 37.00 18.00 17.00 32.00 5.00 8.00 2.00 6.00 22.00 32.00 20.00 8.00 20.00 15.00 33.00 14.00 5.00 18.00 18.00 19.00 14.00 5.00 19.00 4.00 11.00 9.00 4.00 3.00 12.00 8.00 12.00 43.00 13.00 6.00 7.00 7.00 10.00 9.00 6.00 0.00 2.00 9.00 27.00 22.00 7.00 2.00 24.00 2.00 1.00 29.00 15.00 0.00 31.00 34.00 105.00 28.00 0.00 73.00 0.00 0.00 0.00
hsa-miR-500a-3p 307.00 1282.00 696.00 1034.00 198.00 271.00 373.00 618.00 2511.00 1251.00 1261.00 621.00 1011.00 1199.00 1853.00 2550.00 605.00 482.00 1320.00 1185.00 739.00 1046.00 437.00 125.00 548.00 105.00 158.00 807.00 537.00 324.00 358.00 579.00 271.00 572.00 990.00 261.00 121.00 204.00 526.00 520.00 221.00 433.00 172.00 392.00 56.00 173.00 252.00 982.00 527.00 417.00 916.00 432.00 453.00 290.00 275.00 367.00 99.00 176.00 79.00 94.00 364.00 603.00 675.00 254.00 3771.00 859.00 82.00 271.00 441.00 619.00 134.00 1161.00 498.00 1285.00 1115.00 346.00 335.00 304.00 351.00 160.00
hsa-miR-498-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-552-3p 0.00 1.00 6.00 1.00 12.00 3.00 0.00 0.00 4.00 3.00 1.00 0.00 0.00 4.00 0.00 0.00 1.00 0.00 0.00 15.00 1.00 2.00 4.00 2.00 2.00 1.00 0.00 4.00 11.00 5.00 3.00 6.00 1.00 1.00 1.00 0.00 2.00 3.00 3.00 4.00 4.00 1.00 4.00 1.00 0.00 0.00 1.00 2.00 0.00 0.00 1.00 1.00 1.00 0.00 0.00 1.00 1.00 2.00 0.00 0.00 0.00 4.00 1.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-219a-2-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-22-3p 191.00 524.00 379.00 308.00 178.00 245.00 230.00 323.00 1078.00 723.00 949.00 293.00 403.00 479.00 1107.00 1206.00 237.00 306.00 864.00 712.00 379.00 532.00 429.00 184.00 293.00 82.00 125.00 431.00 350.00 282.00 261.00 466.00 137.00 360.00 310.00 152.00 92.00 159.00 264.00 191.00 136.00 235.00 138.00 272.00 93.00 88.00 152.00 412.00 187.00 193.00 325.00 313.00 253.00 252.00 155.00 211.00 81.00 220.00 60.00 114.00 200.00 200.00 220.00 177.00 890.00 251.00 95.00 75.00 148.00 173.00 36.00 404.00 97.00 376.00 255.00 41.00 91.00 50.00 39.00 54.00
hsa-miR-570-5p 0 0 0 0 0 4 0 0 0 0 0 0 0 2 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0
hsa-miR-411-5p 36.00 38.00 369.00 128.00 735.00 635.00 290.00 32.00 216.00 199.00 1527.00 145.00 117.00 1185.00 276.00 166.00 188.00 415.00 56.00 738.00 180.00 663.00 220.00 50.00 473.00 205.00 248.00 1526.00 490.00 358.00 296.00 588.00 421.00 729.00 81.00 95.00 124.00 395.00 529.00 697.00 451.00 817.00 204.00 329.00 48.00 114.00 146.00 117.00 123.00 116.00 30.00 18.00 356.00 128.00 133.00 111.00 38.00 104.00 31.00 66.00 143.00 305.00 275.00 302.00 26.00 85.00 498.00 67.00 823.00 2108.00 366.00 1005.00 562.00 406.00 1420.00 615.00 855.00 1123.00 733.00 106.00
hsa-miR-1288-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-891b 0.00 0.00 0.00 0.00 2.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6884-3p 0.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 4.00 0.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 5.00 0.00 3.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 6.00 0.00 0.00 0.00 24.00 0.00 0.00 0.00
hsa-miR-3606-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3147 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1247-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5700 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4653-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 5.00 4.00 1.00 1.00 0.00 1.00 2.00 3.00 1.00 0.00 4.00 8.00 0.00 0.00 1.00 2.00 3.00 0.00 1.00 4.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 2.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 1.00 0.00 7.00 0.00 0.00 1.00 1.00 0.00 1.00 1.00 1.00 1.00 0.00 7.00 14.00 0.00 0.00 0.00 23.00 0.00 0.00 0.00 27.00 0.00 0.00
hsa-miR-1252-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5090 2.00 5.00 1.00 0.00 1.00 1.00 2.00 8.00 4.00 1.00 1.00 9.00 11.00 1.00 1.00 2.00 6.00 0.00 9.00 0.00 7.00 0.00 1.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 1.00 2.00 6.00 0.00 4.00 0.00 0.00 0.00 2.00 2.00 0.00 2.00 0.00 2.00 0.00 0.00 2.00 8.00 0.00 0.00 3.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 2.00 3.00 2.00 4.00 1.00 3.00 4.00 0.00 0.00 9.00 5.00 13.00 6.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 44.00
hsa-miR-365a-3p 40 54 90 244 18 66 88 74 96 120 228 68 82 446 218 120 50 248 142 436 120 236 168 8 266 84 68 146 110 92 96 130 132 112 68 42 22 48 68 70 72 78 32 40 22 20 62 82 138 58 202 60 208 116 30 306 8 54 34 26 94 104 52 56 360 174 12 62 104 134 90 298 48 32 318 40 102 0 0 0
hsa-miR-7154-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3179 12 12 48 12 0 0 12 36 16 20 20 24 64 16 32 28 8 4 28 4 0 8 16 0 8 4 8 16 0 8 4 0 8 0 40 0 0 0 4 4 0 4 0 12 8 0 4 20 0 0 24 0 4 4 0 4 0 0 12 8 8 20 20 0 20 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6792-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-744-3p 0.00 0.00 15.00 9.00 6.00 12.00 1.00 0.00 12.00 6.00 44.00 5.00 6.00 41.00 14.00 6.00 3.00 13.00 2.00 43.00 1.00 26.00 18.00 0.00 33.00 0.00 2.00 29.00 16.00 14.00 3.00 8.00 4.00 27.00 6.00 5.00 1.00 3.00 9.00 6.00 8.00 15.00 3.00 1.00 4.00 3.00 5.00 2.00 3.00 6.00 22.00 2.00 7.00 2.00 1.00 3.00 0.00 0.00 0.00 4.00 3.00 4.00 4.00 0.00 1.00 2.00 0.00 0.00 22.00 23.00 0.00 13.00 0.00 26.00 33.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3152-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-138-2-3p 0.00 0.00 1.00 1.00 3.00 1.00 0.00 0.00 3.00 1.00 4.00 1.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 5.00 0.00 1.00 1.00 0.00 2.00 3.00 3.00 7.00 1.00 1.00 1.00 2.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 2.00 6.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 2.00 0.00 3.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 31.00 0.00 0.00 0.00
hsa-miR-8084 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5707 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-8081 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-502-3p 231.00 972.00 456.00 704.00 104.00 160.00 232.00 509.00 1600.00 835.00 765.00 401.00 746.00 676.00 1148.00 1747.00 407.00 271.00 883.00 565.00 491.00 494.00 231.00 95.00 271.00 48.00 92.00 417.00 324.00 203.00 230.00 350.00 166.00 393.00 710.00 178.00 80.00 125.00 281.00 290.00 116.00 277.00 89.00 198.00 32.00 111.00 155.00 758.00 291.00 232.00 528.00 257.00 260.00 184.00 163.00 247.00 62.00 116.00 50.00 57.00 227.00 411.00 454.00 155.00 3206.00 643.00 41.00 182.00 203.00 140.00 31.00 515.00 179.00 571.00 392.00 131.00 65.00 36.00 161.00 34.00
hsa-miR-3937 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-509-3-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3064-5p 9.00 9.00 37.00 13.00 36.00 13.00 23.00 15.00 33.00 32.00 36.00 33.00 29.00 45.00 15.00 9.00 27.00 44.00 33.00 48.00 29.00 68.00 69.00 12.00 60.00 22.00 18.00 67.00 54.00 30.00 37.00 78.00 28.00 36.00 30.00 24.00 2.00 20.00 33.00 43.00 40.00 39.00 26.00 34.00 4.00 6.00 19.00 17.00 27.00 30.00 45.00 27.00 29.00 22.00 31.00 19.00 3.00 14.00 4.00 3.00 13.00 24.00 26.00 30.00 15.00 15.00 18.00 15.00 125.00 239.00 20.00 55.00 177.00 213.00 388.00 150.00 163.00 202.00 197.00 0.00
hsa-miR-889-5p 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 1.00 1.00 0.00 2.00 0.00 0.00 1.00 2.00 1.00 0.00 1.00 1.00 5.00 2.00 0.00 0.00 2.00 0.00 0.00 3.00 0.00 1.00 0.00 3.00 2.00 5.00 0.00 1.00 0.00 0.00 0.00 2.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 7.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6745 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 13.00 0.00 0.00 0.00
hsa-miR-3918 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 31.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4755-5p 4.00 3.00 0.00 2.00 3.00 0.00 5.00 4.00 7.00 7.00 4.00 3.00 2.00 5.00 5.00 9.00 5.00 6.00 7.00 0.00 11.00 6.00 4.00 0.00 7.00 5.00 6.00 7.00 8.00 5.00 4.00 4.00 9.00 3.00 4.00 4.00 1.00 3.00 8.00 1.00 3.00 5.00 3.00 3.00 0.00 3.00 9.00 8.00 5.00 4.00 6.00 5.00 7.00 3.00 1.00 3.00 0.00 0.00 0.00 0.00 1.00 5.00 1.00 2.00 8.00 1.00 0.00 0.00 7.00 0.00 0.00 9.00 14.00 20.00 0.00 35.00 0.00 27.00 0.00 0.00
hsa-miR-500b-5p 122 166 148 208 12 56 108 174 152 290 286 142 218 74 138 140 140 10 236 80 34 78 32 8 36 8 6 54 58 48 40 30 10 56 214 16 28 14 72 32 6 48 12 48 8 6 12 218 36 36 42 20 38 22 20 16 8 16 18 20 100 100 114 22 216 238 6 10 72 28 0 150 16 26 0 0 0 0 0 0
hsa-miR-3619-3p 1.00 4.00 0.00 0.00 0.00 1.00 0.00 1.00 2.00 1.00 0.00 1.00 0.00 0.00 6.00 5.00 0.00 2.00 3.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 1.00 0.00 2.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 1.00 2.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-192-3p 8.00 10.00 9.00 9.00 2.00 9.00 13.00 4.00 25.00 14.00 21.00 15.00 21.00 8.00 13.00 10.00 14.00 2.00 9.00 12.00 3.00 1.00 0.00 3.00 7.00 0.00 2.00 7.00 3.00 4.00 2.00 5.00 0.00 12.00 24.00 1.00 0.00 0.00 3.00 3.00 3.00 5.00 1.00 1.00 0.00 1.00 1.00 8.00 8.00 1.00 8.00 2.00 1.00 5.00 1.00 1.00 2.00 1.00 2.00 2.00 5.00 9.00 15.00 1.00 9.00 12.00 2.00 0.00 1.00 5.00 0.00 13.00 0.00 6.00 0.00 0.00 0.00 0.00 0.00 0.00
